"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K5";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
2;",,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";29;"";;;
3;"K1,K2";"easyC-connector";2;"easyC-SMD";;;
4;"C4";"0603C";1;"0.1uF";;;
5;"U1";"TSSOP-16";1;"TCA9534PWR";;;
6;"R2,R1,R3";"0603R";3;"100k";;;
7;"JP2,JP1,JP3";"SMD_JUMPER";3;"SMD_JUMPER";;;
8;"C2,C1";"0805C";2;"CL10A226MPCNUBE";;;
9;"Q1";"SOT-23-3";1;"NMOS-SOT-23-3";;;
10;"R8,R10,R9,R6,R4";"0603R";5;"10k";;;
11;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
12;"G***";"Symbol-Front-LCD";1;"LOGO";;;
13;"JP4,JP5";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
14;"R5";"0603R";1;"330R";;;
15;"U2";"tps613222a";1;"TPS613222A";;;
16;"REF**";"Logo-Front-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
17;"C3";"0603C";1;"1uF";;;
18;"REF**,REF**";"Symbol-Front-I2C-ADDR-Field";2;"Symbol-Front-I2C-ADDR-Field";;;
19;"U3";"SOT-363";1;"NMOS-DUAL";;;
20;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
21;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
22;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
23;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
24;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
25;"R7";"tc33x-2-103e";1;"tc33x-2-103e";;;
26;"C5";"0805C";1;"C1608X7S1A475K080AC";;;
27;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
28;"K3,K4";"HEADER_MALE_8X1";2;"HEADER_MALE_8X1";;;
